# HF cross sections
# #photoabsorption   -- Photoabsorption cross section (cm2)
# #photodissociation -- Photodissociation cross section (cm2)
# #photoionisation   -- Photoionisation cross section (cm2)
# #This version has been resampled to a uniform 0.1nm grid while maintaining a constant integrated cross section (using trapezoidal integration).
# #wavelength photoabsorption photodissociation photoionisation
9.120000e+01 3.748937e-19 3.748937e-19 0.000000e+00
9.220000e+01 9.666863e-19 9.666863e-19 0.000000e+00
9.320000e+01 8.486828e-18 8.486828e-18 0.000000e+00
9.420000e+01 3.729559e-18 3.729559e-18 0.000000e+00
9.520000e+01 1.504970e-17 1.504970e-17 0.000000e+00
9.620000e+01 2.124747e-18 2.124747e-18 0.000000e+00
9.720000e+01 3.930534e-19 3.930534e-19 0.000000e+00
9.820000e+01 1.660897e-19 1.660897e-19 0.000000e+00
9.920000e+01 4.559771e-20 4.559771e-20 0.000000e+00
1.002000e+02 1.352458e-19 1.352458e-19 0.000000e+00
1.012000e+02 1.823906e-19 1.823906e-19 0.000000e+00
1.022000e+02 2.279885e-19 2.279885e-19 0.000000e+00
1.032000e+02 4.559771e-19 4.559771e-19 0.000000e+00
1.042000e+02 5.145103e-19 5.145103e-19 0.000000e+00
1.052000e+02 6.367509e-19 6.367509e-19 0.000000e+00
1.062000e+02 7.849338e-19 7.849338e-19 0.000000e+00
1.072000e+02 1.000470e-18 1.000470e-18 0.000000e+00
1.082000e+02 1.076348e-18 1.076348e-18 0.000000e+00
1.092000e+02 1.285573e-18 1.285573e-18 0.000000e+00
1.102000e+02 1.586962e-18 1.586962e-18 0.000000e+00
1.112000e+02 1.971350e-18 1.971350e-18 0.000000e+00
1.122000e+02 2.358179e-18 2.358179e-18 0.000000e+00
1.132000e+02 2.671458e-18 2.671458e-18 0.000000e+00
1.142000e+02 2.941947e-18 2.941947e-18 0.000000e+00
1.152000e+02 3.154825e-18 3.154825e-18 0.000000e+00
1.162000e+02 3.310936e-18 3.310936e-18 0.000000e+00
1.172000e+02 3.414615e-18 3.414615e-18 0.000000e+00
1.182000e+02 3.474747e-18 3.474747e-18 0.000000e+00
1.192000e+02 3.462472e-18 3.462472e-18 0.000000e+00
1.202000e+02 3.381794e-18 3.381794e-18 0.000000e+00
1.212000e+02 3.207678e-18 3.207678e-18 0.000000e+00
1.222000e+02 2.981163e-18 2.981163e-18 0.000000e+00
1.232000e+02 2.702836e-18 2.702836e-18 0.000000e+00
1.242000e+02 2.372346e-18 2.372346e-18 0.000000e+00
1.252000e+02 2.088383e-18 2.088383e-18 0.000000e+00
1.262000e+02 1.800898e-18 1.800898e-18 0.000000e+00
1.272000e+02 1.536083e-18 1.536083e-18 0.000000e+00
1.282000e+02 1.287005e-18 1.287005e-18 0.000000e+00
1.292000e+02 1.056522e-18 1.056522e-18 0.000000e+00
1.302000e+02 8.646805e-19 8.646805e-19 0.000000e+00
1.312000e+02 6.739697e-19 6.739697e-19 0.000000e+00
1.322000e+02 5.489446e-19 5.489446e-19 0.000000e+00
1.332000e+02 4.500675e-19 4.500675e-19 0.000000e+00
1.342000e+02 3.693714e-19 3.693714e-19 0.000000e+00
1.352000e+02 3.204961e-19 3.204961e-19 0.000000e+00
1.362000e+02 2.825885e-19 2.825885e-19 0.000000e+00
1.372000e+02 2.642869e-19 2.642869e-19 0.000000e+00
1.382000e+02 2.459864e-19 2.459864e-19 0.000000e+00
1.392000e+02 2.276853e-19 2.276853e-19 0.000000e+00
1.402000e+02 2.093862e-19 2.093862e-19 0.000000e+00
1.412000e+02 1.910846e-19 1.910846e-19 0.000000e+00
1.422000e+02 1.727843e-19 1.727843e-19 0.000000e+00
1.432000e+02 1.740916e-19 1.740916e-19 0.000000e+00
1.442000e+02 1.753987e-19 1.753987e-19 0.000000e+00
1.452000e+02 1.543073e-19 1.543073e-19 0.000000e+00
1.462000e+02 1.465219e-19 1.465219e-19 0.000000e+00
1.472000e+02 1.387365e-19 1.387365e-19 0.000000e+00
1.482000e+02 1.309511e-19 1.309511e-19 0.000000e+00
1.492000e+02 1.231657e-19 1.231657e-19 0.000000e+00
1.502000e+02 1.153803e-19 1.153803e-19 0.000000e+00
1.512000e+02 1.075949e-19 1.075949e-19 0.000000e+00
1.522000e+02 9.980946e-20 9.980946e-20 0.000000e+00
1.532000e+02 9.202405e-20 9.202405e-20 0.000000e+00
1.542000e+02 8.423863e-20 8.423863e-20 0.000000e+00
1.552000e+02 7.645322e-20 7.645322e-20 0.000000e+00
1.562000e+02 6.866781e-20 6.866781e-20 0.000000e+00
1.572000e+02 6.088240e-20 6.088240e-20 0.000000e+00
1.582000e+02 5.309698e-20 5.309698e-20 0.000000e+00
1.592000e+02 4.531157e-20 4.531157e-20 0.000000e+00
