# HCN cross sections
# #photoabsorption   -- Photoabsorption cross section (cm2)
# #photodissociation -- Photodissociation cross section (cm2)
# #photoionisation   -- Photoionisation cross section (cm2)
# #This version has been resampled to a uniform 0.1nm grid while maintaining a constant integrated cross section (using trapezoidal integration).
# #wavelength photoabsorption photodissociation photoionisation
9.120000e+01 2.057679e-17 1.489694e-17 5.679850e-18
9.220000e+01 2.051636e-17 2.020317e-17 3.131945e-19
9.320000e+01 1.981582e-17 1.981582e-17 0.000000e+00
9.420000e+01 4.057365e-17 4.057365e-17 0.000000e+00
9.520000e+01 1.551726e-17 1.551726e-17 0.000000e+00
9.620000e+01 1.574028e-17 1.574028e-17 0.000000e+00
9.720000e+01 8.670260e-17 8.670260e-17 0.000000e+00
9.820000e+01 1.855572e-17 1.855572e-17 0.000000e+00
9.920000e+01 2.086740e-17 2.086740e-17 0.000000e+00
1.002000e+02 2.191097e-17 2.191097e-17 0.000000e+00
1.012000e+02 3.572740e-17 3.572740e-17 0.000000e+00
1.022000e+02 1.730694e-17 1.730694e-17 0.000000e+00
1.032000e+02 1.972580e-17 1.972580e-17 0.000000e+00
1.042000e+02 3.029709e-17 3.029709e-17 0.000000e+00
1.052000e+02 3.332657e-17 3.332657e-17 0.000000e+00
1.062000e+02 2.880154e-17 2.880154e-17 0.000000e+00
1.072000e+02 6.044670e-17 6.044670e-17 0.000000e+00
1.082000e+02 3.650480e-17 3.650480e-17 0.000000e+00
1.092000e+02 3.846665e-17 3.846665e-17 0.000000e+00
1.102000e+02 2.240078e-17 2.240078e-17 0.000000e+00
1.112000e+02 3.123631e-17 3.123631e-17 0.000000e+00
1.122000e+02 1.292093e-16 1.292093e-16 0.000000e+00
1.132000e+02 4.799220e-17 4.799220e-17 0.000000e+00
1.142000e+02 4.992733e-17 4.992733e-17 0.000000e+00
1.152000e+02 4.132416e-17 4.132416e-17 0.000000e+00
1.162000e+02 3.822643e-17 3.822643e-17 0.000000e+00
1.172000e+02 2.042278e-17 2.042278e-17 0.000000e+00
1.182000e+02 1.969649e-17 1.969649e-17 0.000000e+00
1.192000e+02 2.893400e-17 2.893400e-17 0.000000e+00
1.202000e+02 2.135559e-17 2.135559e-17 0.000000e+00
1.212000e+02 2.337186e-17 2.337186e-17 0.000000e+00
1.222000e+02 3.167205e-17 3.167205e-17 0.000000e+00
1.232000e+02 1.527255e-17 1.527255e-17 0.000000e+00
1.242000e+02 4.913207e-18 4.913207e-18 0.000000e+00
1.252000e+02 3.147349e-18 3.147349e-18 0.000000e+00
1.262000e+02 2.499589e-18 2.499589e-18 0.000000e+00
1.272000e+02 1.851828e-18 1.851828e-18 0.000000e+00
1.282000e+02 1.572697e-18 1.572697e-18 0.000000e+00
1.292000e+02 1.576237e-18 1.576237e-18 0.000000e+00
1.302000e+02 1.902873e-18 1.902873e-18 0.000000e+00
1.312000e+02 2.726493e-18 2.726493e-18 0.000000e+00
1.322000e+02 1.958308e-18 1.958308e-18 0.000000e+00
1.332000e+02 2.632213e-18 2.632213e-18 0.000000e+00
1.342000e+02 4.285129e-18 4.285129e-18 0.000000e+00
1.352000e+02 4.765668e-18 4.765668e-18 0.000000e+00
1.362000e+02 2.481897e-18 2.481897e-18 0.000000e+00
1.372000e+02 2.602753e-18 2.602753e-18 0.000000e+00
1.382000e+02 1.518422e-17 1.518422e-17 0.000000e+00
